mtg_pool_ID,dlq_stat,mtg_product,term_grp,age_bin,ltv_bin,cbr_bin,TDR_Mod_Ind,tdr_age,pmi,prop_bin,PD,LGD,LGDne
MTG_POOL_1,C,FF,15 year term,"[0,12]","[0,50)","[750,950)",0,n/a,Y,"[0,125k)",0.0003,0.3302,0.2412
MTG_POOL_2,C,FF,15 year term,"[0,12]","[0,50)","[750,950)",0,n/a,Y,"[125k,inf)",0.0003,0.1228,0.068
MTG_POOL_3,C,FF,15 year term,"[0,12]","[0,50)","[750,950)",0,n/a,N,"[0,125k)",0.0003,0.3704,0.2102
MTG_POOL_4,C,FF,15 year term,"[0,12]","[0,50)","[750,950)",0,n/a,N,"[125k,inf)",0.0003,0.107,0.026
MTG_POOL_5,C,FF,15 year term,"[0,12]","[0,50)","[675,750)",0,n/a,Y,"[0,125k)",0.002,0.3302,0.2412
MTG_POOL_6,C,FF,15 year term,"[0,12]","[0,50)","[675,750)",0,n/a,Y,"[125k,inf)",0.002,0.1228,0.068
MTG_POOL_7,C,FF,15 year term,"[0,12]","[0,50)","[675,750)",0,n/a,N,"[0,125k)",0.002,0.3704,0.2102
MTG_POOL_8,C,FF,15 year term,"[0,12]","[0,50)","[675,750)",0,n/a,N,"[125k,inf)",0.002,0.107,0.026
MTG_POOL_9,C,FF,15 year term,"[0,12]","[0,50)","[600,675)",0,n/a,Y,"[0,125k)",0.0059,0.3302,0.2412
MTG_POOL_10,C,FF,15 year term,"[0,12]","[0,50)","[600,675)",0,n/a,Y,"[125k,inf)",0.0059,0.1228,0.068
